"Clade"	"AllUniqsCF"	"CDSsCF"	"intronsCF"	"intergenicsCF"	"lncRNAsCf"	"genicsCF"	"fivesCF"	"genesCF"	"pseudogenesCF"	"smRNAsCF"	"threesCF"
"3"	"AptFor;PygAde"	60.82	54.19	62.1	62.04	61.27	60.67	60.59	60.19	57.88	60.48	63.58
"4"	"BalReg;ChaVoc"	91.95	88.59	92.05	92.55	92.5	91.82	93.36	91.42	91.95	91.78	93.29
"5"	"CalAnn;ChaPel"	59.11	54.67	59.4	57.88	58.65	60.19	61.65	59.47	56.97	63.67	61.27
"6"	"ChlMac;TauEry"	33.35	33.06	33.48	33.63	34.02	32.18	31.85	32.96	33.05	33.94	33.89
"7"	"EgrGar;PelCri"	66.49	58.7	66.54	67.81	67.91	68.41	63.1	64.8	64.43	63.29	65.86
"8"	"EurHel;PhaLep"	35.39	37.97	36.24	34.94	34.66	35.74	40.44	37	37.3	26.21	34.23
"9"	"GalGal;MelGal"	36.04	33.5	35.89	36.55	36.83	37.38	30.77	35.34	41.13	42.96	36.31
"10"	"GeoFor;TaeGut"	33.02	32.01	33.21	32.52	32.71	33.28	31.5	32.75	31.31	32.52	33.57
"11"	"HalAlb;HalLeu"	33.25	32.02	32.9	32.46	32.88	32.73	31.77	32.82	32.29	34.96	33.44
"12"	"MelUnd;NesNot"	34.26	34.58	34.09	33.96	34.22	34.82	36.77	33.56	34.37	41.25	33.34
"13"	"MerNub;PicPub"	34.05	34.04	33.76	33.96	33.71	34.69	32.74	33.6	37.47	37.38	34.05
"14"	"MesUni;PteGut"	37	34.75	36.63	37	36.99	36.4	39.56	36.1	36.37	31.94	36.23
"15"	"PhoRub;PodCri"	63.44	58.33	63.45	65.4	64.31	63.68	62.92	63.08	58.91	61.05	66.42
"16"	"AnaPla;GalGal;MelGal"	35.15	35.96	34.43	34.95	35.61	35.35	35.69	34.14	34.82	33.41	34.84
"17"	"AntCar;CalAnn;ChaPel"	33.12	35.25	33.76	33.09	33.37	33.82	35.35	34.32	34.56	42.8	34.03
"18"	"AptFor;FulGla;PygAde"	36.58	36.68	35.43	37.1	36.82	36.14	40.79	36.19	42.15	29.86	36.54
"19"	"BalReg;ChaVoc;OpiHoa"	32.34	30.18	32.11	32.07	32.36	32.35	32.77	31.46	31.55	34.44	31.88
"20"	"BucRhi;MerNub;PicPub"	36.75	36.86	35.23	35.84	36.05	36.46	36.36	36.28	35.29	40.44	35.65
"21"	"CatAur;HalAlb;HalLeu"	36.03	31.03	36.06	37.51	37.29	35.84	33.33	34.45	34.49	30.01	33.9
"22"	"ChlMac;CucCan;TauEry"	41.08	42.06	40.68	40.24	40.06	39.77	40.61	41.42	38.84	43.78	41.11
"23"	"ColLiv;MesUni;PteGut"	38.29	36.01	38.35	38.47	38.76	38.23	34.69	37.74	34.78	39.7	37.34
"24"	"CorBra;GeoFor;TaeGut"	39.16	40.65	38.96	38.19	38.14	40.37	41.22	39.42	38.5	44.21	41.49
"25"	"EgrGar;NipNip;PelCri"	93.79	89.47	93.73	94.2	94.44	93.48	93.18	93.06	92.57	92.79	93.9
"26"	"ApaVit;BucRhi;MerNub;PicPub"	38.93	32.84	38.03	39.5	39.76	37.97	35.83	37.4	38.24	32.27	39.26
"27"	"CorBra;GeoFor;ManVit;TaeGut"	40.02	37.75	40.6	40.74	40.42	37.81	40.05	39.71	31.91	26.44	39.72
"28"	"EgrGar;NipNip;PelCri;PhaCar"	34.85	33.47	34.88	35.04	35.92	35.2	30.58	34.34	40.21	23.88	33.95
"29"	"AcaChl;CorBra;GeoFor;ManVit;TaeGut"	36.89	36.14	38.14	37.83	38.22	37.4	36.27	37.88	37.23	39.85	37.81
"30"	"ApaVit;BucRhi;LepDis;MerNub;PicPub"	32.72	30.01	32.83	34.06	33.7	33.88	30.16	31.97	32.55	27.16	32.98
"31"	"ColLiv;MesUni;PhoRub;PodCri;PteGut"	35.63	33.7	35.8	35.52	35.7	35.97	34.19	35.37	35.22	35.52	35.69
"32"	"AntCar;CalAnn;ChaPel;ChlMac;CucCan;TauEry"	38.4	40.86	38.87	37.61	38.22	37.19	40.25	38.25	35.48	41.35	39.97
"33"	"ApaVit;BucRhi;ColStr;LepDis;MerNub;PicPub"	82.3	76.89	83.08	82.63	82.9	83.82	80.27	82.33	79.1	78.34	85.46
"34"	"AcaChl;CorBra;GeoFor;ManVit;MelUnd;NesNot;TaeGut"	70.98	67.59	71.51	71.1	70.95	71.21	71.44	70.54	68.59	77.05	73.67
"35"	"ApaVit;BucRhi;ColStr;LepDis;MerNub;PicPub;TytAlb"	45.94	45.29	46.27	46.24	46.32	46.46	43.83	45.88	43.97	45.16	48.86
"36"	"AptFor;EgrGar;FulGla;NipNip;PelCri;PhaCar;PygAde"	80.11	75.56	80.6	80.88	81.03	80.69	77.99	79.51	78.4	69.29	81.56
"37"	"AcaChl;CorBra;FalPer;GeoFor;ManVit;MelUnd;NesNot;TaeGut"	78.56	70.62	78.93	79.9	79.84	78.58	76.39	76.96	73.75	76.69	79.84
"38"	"AptFor;EgrGar;FulGla;GavSte;NipNip;PelCri;PhaCar;PygAde"	32.79	30.51	33.52	33.25	32.69	33.8	33.55	32.61	32.34	35.32	30.45
"39"	"AcaChl;CarCri;CorBra;FalPer;GeoFor;ManVit;MelUnd;NesNot;TaeGut"	46.48	48.01	46	44.99	45.89	44.26	50.64	45.68	48.49	52.9	49.55
"40"	"ApaVit;BucRhi;CatAur;ColStr;HalAlb;HalLeu;LepDis;MerNub;PicPub;TytAlb"	99.73	99.6	99.75	99.73	99.73	99.8	99.85	99.72	99.82	99.95	99.68
"41"	"AptFor;EgrGar;EurHel;FulGla;GavSte;NipNip;PelCri;PhaCar;PhaLep;PygAde"	32.4	30.67	32.06	32.28	32.72	33.27	32.19	32.58	34.04	31.49	32.75
"42"	"AcaChl;ApaVit;BucRhi;CarCri;CatAur;ColStr;CorBra;FalPer;GeoFor;HalAlb;HalLeu;LepDis;ManVit;MelUnd;MerNub;NesNot;PicPub;TaeGut;TytAlb"	35.86	40.56	35.27	35.64	34.77	34.95	35.83	36.7	35.39	28.56	40.05
"43"	"AcaChl;ApaVit;AptFor;BucRhi;CarCri;CatAur;ColStr;CorBra;EgrGar;EurHel;FalPer;FulGla;GavSte;GeoFor;HalAlb;HalLeu;LepDis;ManVit;MelUnd;MerNub;NesNot;NipNip;PelCri;PhaCar;PhaLep;PicPub;PygAde;TaeGut;TytAlb"	35.15	31.48	35.87	35.68	35.95	34.76	34.3	34.96	35.77	44.6	33.54
"44"	"AcaChl;ApaVit;AptFor;BalReg;BucRhi;CarCri;CatAur;ChaVoc;ColStr;CorBra;EgrGar;EurHel;FalPer;FulGla;GavSte;GeoFor;HalAlb;HalLeu;LepDis;ManVit;MelUnd;MerNub;NesNot;NipNip;OpiHoa;PelCri;PhaCar;PhaLep;PicPub;PygAde;TaeGut;TytAlb"	36.33	38.15	36.46	36.59	36.51	37.46	37.8	36.62	38.49	29.75	37.19
